© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	dpi01	dpi03	dpi05	dpi07	dpi10	dpi15	dpi21	dpi28
Agranulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nicotinate metabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAD Salvage Pathway II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sirtuin Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sensory perception of taste	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Peptide hormone biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Growth Hormone Signaling	N/A	N/A	N/A	0.0	N/A	N/A	N/A	N/A
Binding and Uptake of Ligands by Scavenger Receptors	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Unfolded Protein Response (UPR)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEY1 Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Erythrocytes take up oxygen and release carbon dioxide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell surface interactions at the vascular wall	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by ERBB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apelin Endothelial Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Purine Nucleotides Degradation II (Aerobic)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of beta-cell development	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tetrahydrobiopterin Biosynthesis II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Guanosine Nucleotides Degradation III	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of IL-17A in Psoriasis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by PTK6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PI3K/AKT Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PD-1, PD-L1 cancer immunotherapy pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of MAPK Signaling in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nucleotide salvage	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Alpha-protein kinase 1 signaling pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inhibition of Matrix Metalloproteases	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of amine-derived hormones	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Estrogen-Dependent Breast Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tetrahydrobiopterin Biosynthesis I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uracil Degradation II (Reductive)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Epithelial-Mesenchymal Transition (EMT) during gastrulation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of IL-17F in Allergic Inflammatory Airway Diseases	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Trafficking and processing of endosomal TLR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cohesin Chromatin Regulation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Folate Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by ALK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-20 family signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Histidine catabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	N/A	N/A	N/A	N/A	N/A	0.0	N/A	N/A
Endocannabinoid Cancer Inhibition Pathway	N/A	N/A	N/A	0.0	N/A	N/A	N/A	N/A
Ephrin B Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pyrimidine Ribonucleotides Interconversion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acetylcholine binding and downstream events	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transport of glycerol from adipocytes to the liver by Aquaporins	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JAK/STAT Signaling	N/A	N/A	N/A	0.0	N/A	N/A	N/A	N/A
IL-1 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DNA Damage Bypass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transport of inorganic cations/anions and amino acids/oligopeptides	N/A	N/A	N/A	N/A	N/A	0.0	N/A	N/A
Pyrimidine Ribonucleotides De Novo Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Virus Entry via Endocytic Pathways	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prednisone ADME	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cargo concentration in the ER	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MIF-mediated Glucocorticoid Regulation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-2 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of the nephric duct	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of Angiotensinogen to Angiotensins	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TP53 Regulates Transcription of Cell Death Genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAD Biosynthesis III	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Airway Inflammation in Asthma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MIF Regulation of Innate Immunity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAF/MAP kinase cascade	N/A	N/A	N/A	0.0	N/A	0.0	N/A	N/A
MyD88-independent TLR4 cascade	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-12 family signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Corticotropin Releasing Hormone Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bladder Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inflammasome pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adipogenesis pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAD Phosphorylation and Dephosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AMPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-1 processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Erythrocytes take up carbon dioxide and release oxygen	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chaperone Mediated Autophagy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apelin Adipocyte Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pathogenesis of Multiple Sclerosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Urate Biosynthesis/Inosine 5'-phosphate Degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases Activate NADPH Oxidases	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glucocorticoid Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by Rho Family GTPases	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by EGFR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-17A Signaling in Gastric Cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Circadian Clock	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G-protein beta:gamma signalling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arachidonic acid metabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tetrapyrrole Biosynthesis II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Guanine and Guanosine Salvage I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oncostatin M Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Protein methylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Reversible hydration of carbon dioxide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Histamine Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Iron homeostasis signaling pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adenosine Nucleotides Degradation II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
